asset,lookup,cond,cond_gap,micro,micro_gap,price,price_gap,all,all_gap,price_importance_share
BTCUSD,0.6828,0.6837,0.0009,0.7307,0.048,0.7212,0.0384,0.7262,0.0434,0.3352
ETHUSD,0.6597,0.6597,0.0,0.7193,0.0596,0.6596,-0.0001,0.6908,0.0312,0.3303
SOLUSD,0.6673,0.668,0.0008,0.6568,-0.0105,0.6985,0.0312,0.7056,0.0383,0.2373
